stay_id,pg_name,area,tier,rent,pg_type,amenities
CBE_023,Thudiyalur Stay 23,Thudiyalur,mid,8159,Double Sharing,"Laundry, Power Backup, AC"
CBE_024,Thudiyalur Stay 24,Thudiyalur,mid,9973,Studio,"Wi-Fi, Power Backup, Parking, Hot Water, Laundry, Security, AC"
CBE_025,Vilankurichi Stay 25,Vilankurichi,mid,13393,Single Room,"AC, Laundry, Security, Parking, Wi-Fi, Hot Water, Power Backup"
CBE_026,Vilankurichi Stay 26,Vilankurichi,mid,15002,Double Sharing,"Parking, Security, Power Backup, Wi-Fi, Hot Water"
CBE_027,Nehru Nagar Stay 27,Nehru Nagar,mid,9024,Double Sharing,"Wi-Fi, Security, Hot Water, AC, Laundry"
CBE_028,Nehru Nagar Stay 28,Nehru Nagar,mid,8558,Double Sharing,"Hot Water, Power Backup, Wi-Fi"
CBE_029,Sowripalayam Stay 29,Sowripalayam,mid,8052,Studio,"Power Backup, Laundry, Wi-Fi"
CBE_030,Sowripalayam Stay 30,Sowripalayam,mid,9449,Studio,"Hot Water, Parking, AC, Security, Laundry"
CBE_031,RS Puram Residency 31,RS Puram,premium,24440,Single Room,"Parking, Housekeeping, Power Backup, Smart TV, AC, High-Speed Wi-Fi"
CBE_032,RS Puram Residency 32,RS Puram,premium,25796,Single Room,"Hot Water, Power Backup, Parking, Housekeeping, High-Speed Wi-Fi, 24x7 Security"
CBE_033,Race Course Residency 33,Race Course,premium,22596,Single Room,"Hot Water, AC, Housekeeping, Power Backup, Smart TV, Parking, High-Speed Wi-Fi, 24x7 Security"
CBE_034,Race Course Residency 34,Race Course,premium,20563,1BHK,"Parking, AC, Smart TV, 24x7 Security, High-Speed Wi-Fi, Hot Water"
CBE_035,Avinashi Road Residency 35,Avinashi Road,premium,22856,Studio,"High-Speed Wi-Fi, AC, Power Backup, Housekeeping, Hot Water, Parking, 24x7 Security, Gym, Smart TV"
CBE_036,Avinashi Road Residency 36,Avinashi Road,premium,14960,Studio,"Power Backup, High-Speed Wi-Fi, Parking, Gym"
CBE_037,Ramanathapuram Residency 37,Ramanathapuram,premium,17673,Single Room,"Smart TV, Housekeeping, AC, Power Backup, Gym, Hot Water"
CBE_038,Ramanathapuram Residency 38,Ramanathapuram,premium,22489,1BHK,"Smart TV, High-Speed Wi-Fi, Hot Water, Gym, Housekeeping, 24x7 Security, Power Backup, AC"
CBE_039,Civil Aerodrome Residency 39,Civil Aerodrome,premium,23701,Single Room,"High-Speed Wi-Fi, AC, Power Backup, Housekeeping"
CBE_040,Civil Aerodrome Residency 40,Civil Aerodrome,premium,24749,1BHK,"Parking, Power Backup, High-Speed Wi-Fi"
CBE_041,Sungam Residency 41,Sungam,premium,18533,Single Room,"High-Speed Wi-Fi, AC, Parking, Hot Water, 24x7 Security, Gym, Housekeeping"
CBE_042,Sungam Residency 42,Sungam,premium,19647,1BHK,"24x7 Security, Power Backup, AC, Hot Water"
CBE_043,Venkateswara Nagar Residency 43,Venkateswara Nagar,premium,19915,Single Room,"Hot Water, AC, High-Speed Wi-Fi, Parking, 24x7 Security, Power Backup"
CBE_044,Venkateswara Nagar Residency 44,Venkateswara Nagar,premium,23808,Single Room,"Smart TV, 24x7 Security, AC, Gym"
CBE_045,Gandhipuram Residency 45,Gandhipuram,premium,17502,1BHK,"24x7 Security, Gym, Parking, Smart TV, Housekeeping"
CBE_046,Gandhipuram Residency 46,Gandhipuram,premium,24214,Single Room,"High-Speed Wi-Fi, 24x7 Security, Hot Water, Smart TV, AC, Gym, Power Backup"
CBE_047,Sidhapudur Stay 47,Sidhapudur,mid,15081,Studio,"AC, Laundry, Hot Water, Power Backup, Security, Parking, Wi-Fi"
CBE_048,Sidhapudur Stay 48,Sidhapudur,mid,14195,Studio,"Security, Parking, Laundry, Wi-Fi, Hot Water"
CBE_049,Sundarapuram Stay 49,Sundarapuram,mid,11969,Single Room,"Wi-Fi, Power Backup, Laundry, AC, Security"
CBE_050,Sundarapuram Stay 50,Sundarapuram,mid,9823,Studio,"Security, Hot Water, Parking, Wi-Fi, Power Backup, Laundry"
